"time","firing","ahp","protocol","condition","lobules","geontype","cell_id"
1,1,0.975676798523399,"SD","cAMPS","ix_x","wt","20200724_1"
2,1.05128205128205,1.06238337746961,"SD","cAMPS","ix_x","wt","20200724_1"
3,0.923076923076923,1.02689098595803,"SD","cAMPS","ix_x","wt","20200724_1"
4,0.871794871794872,0.986606622040465,"SD","cAMPS","ix_x","wt","20200724_1"
5,0.974358974358974,0.990130197554512,"SD","cAMPS","ix_x","wt","20200724_1"
6,0.974358974358974,0.953045556243396,"SD","cAMPS","ix_x","wt","20200724_1"
7,1.05128205128205,0.983801847452781,"SD","cAMPS","ix_x","wt","20200724_1"
8,1,1.07673603706724,"SD","cAMPS","ix_x","wt","20200724_1"
9,1.05128205128205,0.977506050759509,"SD","cAMPS","ix_x","wt","20200724_1"
10,1.1025641025641,0.96722252693105,"SD","cAMPS","ix_x","wt","20200724_1"
16,1,0.963349085533242,"SD","cAMPS","ix_x","wt","20200724_1"
17,1.1025641025641,0.950718218020211,"SD","cAMPS","ix_x","wt","20200724_1"
18,1.1025641025641,0.938250688407249,"SD","cAMPS","ix_x","wt","20200724_1"
19,1.02564102564103,0.98210243922881,"SD","cAMPS","ix_x","wt","20200724_1"
20,1.02564102564103,0.984071567925816,"SD","cAMPS","ix_x","wt","20200724_1"
21,1,0.953734844689271,"SD","cAMPS","ix_x","wt","20200724_1"
22,1.02564102564103,0.914996081071963,"SD","cAMPS","ix_x","wt","20200724_1"
23,1.07692307692308,0.932325293320968,"SD","cAMPS","ix_x","wt","20200724_1"
24,1.12820512820513,0.878192598132329,"SD","cAMPS","ix_x","wt","20200724_1"
25,1.07692307692308,0.928692282849004,"SD","cAMPS","ix_x","wt","20200724_1"
26,1.05128205128205,0.951039924798623,"SD","cAMPS","ix_x","wt","20200724_1"
27,1.12820512820513,0.816394178975093,"SD","cAMPS","ix_x","wt","20200724_1"
28,1.12820512820513,0.861737334650424,"SD","cAMPS","ix_x","wt","20200724_1"
29,1.1025641025641,0.865571928644307,"SD","cAMPS","ix_x","wt","20200724_1"
30,1.07692307692308,0.90557723115475,"SD","cAMPS","ix_x","wt","20200724_1"
31,1.12820512820513,0.926570569230172,"SD","cAMPS","ix_x","wt","20200724_1"
32,1.1025641025641,0.9094218671658,"SD","cAMPS","ix_x","wt","20200724_1"
33,1.07692307692308,0.910890722734233,"SD","cAMPS","ix_x","wt","20200724_1"
34,1.07692307692308,0.90598329688354,"SD","cAMPS","ix_x","wt","20200724_1"
35,1.05128205128205,0.863864309743355,"SD","cAMPS","ix_x","wt","20200724_1"
36,1.02564102564103,0.901472323295708,"SD","cAMPS","ix_x","wt","20200724_1"
37,1.07692307692308,0.842470429057494,"SD","cAMPS","ix_x","wt","20200724_1"
38,1.05128205128205,0.846823204850899,"SD","cAMPS","ix_x","wt","20200724_1"
39,1,0.925932951380561,"SD","cAMPS","ix_x","wt","20200724_1"
40,1.02564102564103,0.947407398236682,"SD","cAMPS","ix_x","wt","20200724_1"
41,1.12820512820513,0.914258457129153,"SD","cAMPS","ix_x","wt","20200724_1"
42,1.1025641025641,0.898198667736498,"SD","cAMPS","ix_x","wt","20200724_1"
43,1,0.896564470197807,"SD","cAMPS","ix_x","wt","20200724_1"
44,1,0.948700882103125,"SD","cAMPS","ix_x","wt","20200724_1"
45,1.02564102564103,0.871437403355976,"SD","cAMPS","ix_x","wt","20200724_1"
