"time","firing","ahp","protocol","condition","lobules","geontype","cell_id"
1,1.0752688172043,-11.2816178355033,"syn","oxo_m","ix_x","wt","20150806_1"
2,0.967741935483871,-11.0406250441533,"syn","oxo_m","ix_x","wt","20150806_1"
3,0.931899641577061,-11.2196142170967,"syn","oxo_m","ix_x","wt","20150806_1"
4,0.967741935483871,-11.0067699815733,"syn","oxo_m","ix_x","wt","20150806_1"
5,0.967741935483871,-10.7078914939433,"syn","oxo_m","ix_x","wt","20150806_1"
6,1.00358422939068,-10.4755525963133,"syn","oxo_m","ix_x","wt","20150806_1"
7,0.967741935483871,-10.47825723934,"syn","oxo_m","ix_x","wt","20150806_1"
8,0.967741935483871,-10.2358783528133,"syn","oxo_m","ix_x","wt","20150806_1"
9,1.03942652329749,-9.64374538577333,"syn","oxo_m","ix_x","wt","20150806_1"
10,1.11111111111111,-9.26943219558333,"syn","oxo_m","ix_x","wt","20150806_1"
16,2.00716845878136,-3.44535197367333,"syn","oxo_m","ix_x","wt","20150806_1"
17,1.75627240143369,-4.80893650031333,"syn","oxo_m","ix_x","wt","20150806_1"
18,1.7921146953405,-5.24114517141333,"syn","oxo_m","ix_x","wt","20150806_1"
19,1.93548387096774,-4.71936677295,"syn","oxo_m","ix_x","wt","20150806_1"
20,2.00716845878136,-4.17345890851333,"syn","oxo_m","ix_x","wt","20150806_1"
21,2.1505376344086,-3.78655117944667,"syn","oxo_m","ix_x","wt","20150806_1"
22,2.1505376344086,-3.40743946394333,"syn","oxo_m","ix_x","wt","20150806_1"
23,2.18637992831541,-3.24604423031333,"syn","oxo_m","ix_x","wt","20150806_1"
24,2.25806451612903,-3.03763318139333,"syn","oxo_m","ix_x","wt","20150806_1"
25,2.25806451612903,-3.17167995961666,"syn","oxo_m","ix_x","wt","20150806_1"
26,2.25806451612903,-3.03983929639,"syn","oxo_m","ix_x","wt","20150806_1"
27,2.25806451612903,-3.46239554214333,"syn","oxo_m","ix_x","wt","20150806_1"
28,2.25806451612903,-3.59914009579334,"syn","oxo_m","ix_x","wt","20150806_1"
29,2.25806451612903,-3.62855770717334,"syn","oxo_m","ix_x","wt","20150806_1"
30,2.25806451612903,-3.76937992958333,"syn","oxo_m","ix_x","wt","20150806_1"
31,2.25806451612903,-4.01674468874,"syn","oxo_m","ix_x","wt","20150806_1"
32,2.22222222222222,-4.12838877721667,"syn","oxo_m","ix_x","wt","20150806_1"
33,2.25806451612903,-4.08913408557333,"syn","oxo_m","ix_x","wt","20150806_1"
34,2.25806451612903,-4.19814506862666,"syn","oxo_m","ix_x","wt","20150806_1"
35,2.25806451612903,-4.02909963554667,"syn","oxo_m","ix_x","wt","20150806_1"
36,2.25806451612903,-4.03786242425334,"syn","oxo_m","ix_x","wt","20150806_1"
37,2.25806451612903,-3.94422126483334,"syn","oxo_m","ix_x","wt","20150806_1"
38,2.25806451612903,-3.98759949744334,"syn","oxo_m","ix_x","wt","20150806_1"
39,2.25806451612903,-4.06567021179334,"syn","oxo_m","ix_x","wt","20150806_1"
40,2.25806451612903,-3.86039886670667,"syn","oxo_m","ix_x","wt","20150806_1"
